"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"165","Perry County, Arkansas",2.2,"10.1 (9.6, 10.7)","0.2 (0.2, 0.2)",10.5,52.5,1.7,0.8
"166","Phillips County, Arkansas",3.5,"15 (14.4, 15.7)","0.5 (0.5, 0.5)",11,56.4,51.3,1.3
"167","Pike County, Arkansas",2.2,"10.5 (10, 11.1)","0.2 (0.2, 0.2)",10.7,54.7,2.3,1.5
"168","Poinsett County, Arkansas",4.3,"10.4 (9.9, 11)","0.4 (0.4, 0.5)",9.8,57.3,4.7,1.2
"169","Polk County, Arkansas",4.7,"10.1 (9.6, 10.7)","0.5 (0.4, 0.5)",10,53.4,0.2,1.7
"170","Pope County, Arkansas",10.7,"10.5 (10, 11.1)","1.1 (1.1, 1.2)",11.9,55,1.6,2.2
"171","Prairie County, Arkansas",1.9,"12.1 (11.5, 12.7)","0.2 (0.2, 0.2)",13.7,53.8,8.9,0.6
"172","Pulaski County, Arkansas",64.9,"12.3 (11.7, 12.9)","8 (7.6, 8.4)",11.5,57.4,25.9,1.6
"173","Randolph County, Arkansas",3.6,"11.3 (10.7, 11.9)","0.4 (0.4, 0.4)",14.5,55.6,1.1,0.9
"174","St. Francis County, Arkansas",4.2,"13.5 (12.9, 14.1)","0.6 (0.5, 0.6)",10.4,54.3,41.9,1.5
"175","Saline County, Arkansas",23,"10 (9.4, 10.5)","2.3 (2.2, 2.4)",9.5,54.6,3,1.4
"176","Scott County, Arkansas",2.1,"10.6 (10.1, 11.2)","0.2 (0.2, 0.2)",11.8,51.3,0.7,2.1
"177","Searcy County, Arkansas",2,"10.5 (10, 11.1)","0.2 (0.2, 0.2)",12.2,51.3,0.5,0.8
"178","Sebastian County, Arkansas",21.5,"10.7 (10.1, 11.3)","2.3 (2.2, 2.4)",11.6,56.1,4.5,3.7
"179","Sevier County, Arkansas",2.6,"11.2 (10.6, 11.9)","0.3 (0.3, 0.3)",12,54,5.5,9.3
"180","Sharp County, Arkansas",4.6,"10.4 (9.9, 11)","0.5 (0.5, 0.5)",11.3,53.2,0.3,1.3
"181","Stone County, Arkansas",3.6,"10.7 (10.1, 11.2)","0.4 (0.4, 0.4)",12.4,53.7,0.3,0.7
"182","Union County, Arkansas",7.2,"12.5 (11.9, 13.1)","0.9 (0.9, 0.9)",11.1,55.5,25.4,1.1
"183","Van Buren County, Arkansas",4.5,"10.6 (10.1, 11.2)","0.5 (0.5, 0.5)",12.3,53,0.7,1.2
"184","Washington County, Arkansas",30.2,"10.2 (9.6, 10.8)","3.1 (2.9, 3.3)",11.1,55.8,1.1,4.6
"185","White County, Arkansas",13.3,"10.5 (10, 11)","1.4 (1.3, 1.5)",11.2,56.5,2.5,1.1
"186","Woodruff County, Arkansas",1.5,"13.1 (12.5, 13.7)","0.2 (0.2, 0.2)",12.7,56.5,24.2,1.2
