"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"2620","Hamilton County, Texas",2.2,"11.8 (11.2, 12.4)","0.3 (0.2, 0.3)",15.6,54.9,0.4,4.2
"2621","Hansford County, Texas",0.8,"12 (11.1, 12.8)","0.1 (0.1, 0.1)",13.5,54.4,0.8,20.6
"2622","Hardeman County, Texas",0.9,"12.1 (11.3, 12.9)","0.1 (0.1, 0.1)",14.1,53.7,4.9,11.8
"2623","Hardin County, Texas",10.2,"10.5 (10, 11.1)","1.1 (1, 1.1)",10.8,55.4,5,2.9
"2624","Harris County, Texas",532.1,"12.2 (11.2, 13.1)","64.8 (59.8, 69.8)",9.9,55.5,18,24.3
"2625","Harrison County, Texas",11.9,"12 (11.4, 12.6)","1.4 (1.4, 1.5)",10.6,54.9,20.6,3.3
"2626","Hartley County, Texas",0.8,"11.5 (10.8, 12.2)","0.1 (0.1, 0.1)",13.7,53.7,1.1,9.2
"2627","Haskell County, Texas",1.3,"12.3 (11.5, 13.1)","0.2 (0.2, 0.2)",14.5,53.4,3.3,14.5
"2628","Hays County, Texas",28.4,"10 (9.2, 10.8)","2.8 (2.6, 3.1)",8.4,54.4,2.2,21
"2629","Hemphill County, Texas",0.6,"11 (10.3, 11.7)","0.1 (0.1, 0.1)",12.9,53.4,0.3,9.1
"2630","Henderson County, Texas",19.1,"10.6 (10, 11.2)","2 (1.9, 2.1)",10.3,53.7,4.1,4.1
"2631","Hidalgo County, Texas",101.1,"14.8 (12.8, 16.8)","15 (13, 17)",12.5,55.9,0.3,77.7
"2632","Hill County, Texas",7.8,"11.1 (10.5, 11.8)","0.9 (0.8, 0.9)",11.7,52.5,4.6,7.2
"2633","Hockley County, Texas",3.5,"12.1 (11, 13.1)","0.4 (0.4, 0.5)",11.9,55,3.2,27.8
"2634","Hood County, Texas",16.4,"10.3 (9.7, 10.9)","1.7 (1.6, 1.8)",10.9,53.2,0.5,3.5
"2635","Hopkins County, Texas",7,"11.2 (10.5, 11.8)","0.8 (0.7, 0.8)",11.6,55.2,7,4.2
"2636","Houston County, Texas",5.3,"12.8 (12.1, 13.4)","0.7 (0.6, 0.7)",13.5,53.4,16.5,3.2
"2637","Howard County, Texas",4.8,"12.2 (11.1, 13.2)","0.6 (0.5, 0.6)",13.6,52.6,3.1,27
"2638","Hudspeth County, Texas",0.8,"14.3 (12.4, 16.1)","0.1 (0.1, 0.1)",12,48,1.2,69.1
"2639","Hunt County, Texas",16.4,"10.5 (9.9, 11.1)","1.7 (1.6, 1.8)",10,54,5.6,5.3
"2640","Hutchinson County, Texas",3.7,"10.9 (10.2, 11.6)","0.4 (0.4, 0.4)",12.2,52.3,2.6,9
"2641","Irion County, Texas",0.3,"12.2 (11.3, 13.2)","0 (0, 0)",14,50.6,0.6,19
"2642","Jack County, Texas",1.6,"10.5 (9.9, 11.2)","0.2 (0.2, 0.2)",10.7,52.2,1.1,4.3
"2643","Jackson County, Texas",2.8,"12 (11.2, 12.8)","0.3 (0.3, 0.4)",12.7,53.7,6.3,15.5
"2644","Jasper County, Texas",7.3,"11.2 (10.6, 11.8)","0.8 (0.8, 0.9)",10.1,53.8,12.3,2.2
"2645","Jeff Davis County, Texas",0.8,"10.4 (9.6, 11.3)","0.1 (0.1, 0.1)",9.4,50,0.8,19.9
"2646","Jefferson County, Texas",37.7,"13.8 (13, 14.5)","5.2 (4.9, 5.5)",12.8,55.6,30.2,8.9
"2647","Jim Hogg County, Texas",0.9,"14.4 (12.2, 16.6)","0.1 (0.1, 0.1)",7.6,55.8,0.3,89.8
"2648","Jim Wells County, Texas",6.5,"14.4 (12.5, 16.3)","0.9 (0.8, 1.1)",11.6,54.7,0.5,72.7
"2649","Johnson County, Texas",26.3,"10.1 (9.4, 10.7)","2.7 (2.5, 2.8)",9.1,55.1,2.3,8.9
"2650","Jones County, Texas",3.2,"11.4 (10.7, 12.2)","0.4 (0.3, 0.4)",11.9,52.1,3.9,13.9
"2651","Karnes County, Texas",2.3,"13.1 (11.9, 14.4)","0.3 (0.3, 0.3)",13.4,54.6,1.9,38.4
"2652","Kaufman County, Texas",16.9,"10.4 (9.8, 11)","1.8 (1.6, 1.9)",8.9,54.6,10,8
"2653","Kendall County, Texas",9.5,"10.8 (10.1, 11.5)","1 (1, 1.1)",11.5,53.8,0.7,10.5
"2654","Kenedy County, Texas",0.1,"15.1 (13.1, 17.1)","0 (0, 0)",14,48.8,1.2,73.3
"2655","Kent County, Texas",0.2,"13.8 (12.9, 14.6)","0 (0, 0)",15.8,61.7,1.5,11.7
"2656","Kerr County, Texas",15,"11.4 (10.7, 12.2)","1.7 (1.6, 1.8)",12.7,54,0.8,9.9
"2657","Kimble County, Texas",1.3,"10.6 (9.9, 11.3)","0.1 (0.1, 0.2)",9.9,52.6,0.4,11.4
"2658","King County, Texas",0.1,"12.4 (11.8, 13.1)","0 (0, 0)",17,43.4,0,3.8
"2659","Kinney County, Texas",0.9,"13.8 (12.6, 15.1)","0.1 (0.1, 0.1)",14.6,51.3,1.6,35.1
"2660","Kleberg County, Texas",4.2,"14.5 (12.7, 16.3)","0.6 (0.5, 0.7)",12,55.2,2.5,64.7
"2661","Knox County, Texas",0.8,"13.2 (12.3, 14.1)","0.1 (0.1, 0.1)",15,57.9,5.8,17.9
"2662","Lamar County, Texas",9.7,"11.3 (10.7, 11.9)","1.1 (1, 1.2)",11.7,56,9,2.3
"2663","Lamb County, Texas",2.2,"13.4 (12.3, 14.6)","0.3 (0.3, 0.3)",14.9,53.6,3.6,33.8
"2664","Lampasas County, Texas",4.5,"10.6 (9.9, 11.3)","0.5 (0.4, 0.5)",10.5,54.3,2.8,9.8
"2665","La Salle County, Texas",1.1,"14.1 (12.3, 16)","0.1 (0.1, 0.2)",10.2,54.8,1.1,72.8
"2666","Lavaca County, Texas",4.9,"12.4 (11.7, 13.1)","0.6 (0.6, 0.6)",15.5,55.3,5.5,8.2
"2667","Lee County, Texas",3.4,"11.2 (10.5, 11.8)","0.4 (0.4, 0.4)",10.2,52.5,9.9,7.3
"2668","Leon County, Texas",4.4,"11.2 (10.6, 11.8)","0.5 (0.5, 0.5)",10.8,52.6,7.9,4.2
"2669","Liberty County, Texas",11.8,"10.2 (9.6, 10.9)","1.2 (1.1, 1.3)",8.4,53.9,9.3,9.4
"2670","Limestone County, Texas",4.8,"11.6 (11, 12.3)","0.6 (0.5, 0.6)",11.6,53.8,12.8,6.7
"2671","Lipscomb County, Texas",0.6,"11.4 (10.7, 12.1)","0.1 (0.1, 0.1)",13.4,54.2,0.7,9.2
"2672","Live Oak County, Texas",2.7,"12.6 (11.5, 13.6)","0.3 (0.3, 0.4)",13.8,50.3,0.3,27.2
"2673","Llano County, Texas",8.3,"10.7 (10.2, 11.3)","0.9 (0.8, 0.9)",12.3,52.7,0.4,2.9
"2674","Loving County, Texas",0,"5.6 (5.1, 6.1)","0 (0, 0)",0,40.9,0,9.1
"2675","Lubbock County, Texas",41,"11.8 (10.9, 12.7)","4.8 (4.5, 5.2)",12,56.4,5.3,20.9
"2676","Lynn County, Texas",1,"12.8 (11.6, 14)","0.1 (0.1, 0.1)",12,52.1,2.7,32.7
"2677","McCulloch County, Texas",1.9,"11.6 (10.7, 12.5)","0.2 (0.2, 0.2)",12.5,53.1,2,19.6
"2678","McLennan County, Texas",39.2,"12.3 (11.5, 13)","4.8 (4.5, 5.1)",13,56.1,11.5,12
"2679","McMullen County, Texas",0.2,"14.8 (13.5, 16)","0 (0, 0)",17.5,49.7,1.1,32.8
"2680","Madison County, Texas",2.3,"12.2 (11.5, 12.8)","0.3 (0.3, 0.3)",12.1,54.5,13,7.3
"2681","Marion County, Texas",2.7,"11.8 (11.2, 12.4)","0.3 (0.3, 0.3)",9.9,51.6,18.7,1.7
"2682","Martin County, Texas",0.7,"11.5 (10.5, 12.6)","0.1 (0.1, 0.1)",11,52.2,1.6,30.9
"2683","Mason County, Texas",1.3,"11.4 (10.6, 12.1)","0.1 (0.1, 0.2)",12,53.3,0.2,10.4
"2684","Matagorda County, Texas",6.4,"12.1 (11.2, 13.1)","0.8 (0.7, 0.8)",11,52.3,9.9,23.2
"2685","Maverick County, Texas",7.1,"15.2 (12.9, 17.5)","1.1 (0.9, 1.2)",10.8,55.3,0.3,95.4
"2686","Medina County, Texas",9.1,"11.9 (10.7, 13)","1.1 (1, 1.2)",11,52.5,1.1,37.4
"2687","Menard County, Texas",0.7,"12.4 (11.4, 13.4)","0.1 (0.1, 0.1)",13.8,49.3,1.2,23.5
"2688","Midland County, Texas",18.3,"12.4 (11.5, 13.4)","2.3 (2.1, 2.4)",14.1,56.2,5.9,24.3
"2689","Milam County, Texas",5.3,"11.8 (11, 12.5)","0.6 (0.6, 0.7)",12.6,53.9,7.6,10.9
"2690","Mills County, Texas",1.4,"11.4 (10.7, 12.1)","0.2 (0.1, 0.2)",13.8,51.4,0.5,8
"2691","Mitchell County, Texas",1.2,"11.5 (10.6, 12.5)","0.1 (0.1, 0.2)",10.6,55.2,3.7,26.1
"2692","Montague County, Texas",4.6,"10.5 (9.9, 11.1)","0.5 (0.5, 0.5)",11.5,53.4,0.4,2.5
"2693","Montgomery County, Texas",86.1,"9.9 (9.3, 10.6)","8.5 (8, 9.1)",8.9,54.5,3.5,9.2
"2694","Moore County, Texas",2.4,"11.8 (10.7, 12.9)","0.3 (0.3, 0.3)",12,52.7,1.1,34.2
"2695","Morris County, Texas",2.8,"12.3 (11.7, 12.9)","0.3 (0.3, 0.4)",11.6,54.3,17.7,3.4
"2696","Motley County, Texas",0.4,"10.8 (10.1, 11.5)","0 (0, 0)",10.1,53.3,2.7,9.2
"2697","Nacogdoches County, Texas",10.2,"11.5 (10.8, 12.1)","1.2 (1.1, 1.2)",11.2,55.2,13.2,6.1
"2698","Navarro County, Texas",8.7,"11.6 (10.9, 12.3)","1 (1, 1.1)",11.4,54.7,11.3,9.2
"2699","Newton County, Texas",3,"12 (11.4, 12.6)","0.4 (0.3, 0.4)",11.8,52.1,17,1.5
"2700","Nolan County, Texas",2.8,"12.4 (11.4, 13.4)","0.3 (0.3, 0.4)",13,54.4,3.7,25.3
"2701","Nueces County, Texas",55.7,"13.2 (11.7, 14.7)","7.4 (6.5, 8.2)",11.9,55.4,3.2,52
"2702","Ochiltree County, Texas",1.2,"10.6 (9.7, 11.5)","0.1 (0.1, 0.1)",10.1,52.9,0,24.3
"2703","Oldham County, Texas",0.3,"10.1 (9.3, 10.8)","0 (0, 0)",7.3,51.8,0.9,13.5
"2704","Orange County, Texas",13.5,"11 (10.4, 11.6)","1.5 (1.4, 1.6)",11.1,55,7,3.7
"2705","Palo Pinto County, Texas",6,"10.3 (9.7, 11)","0.6 (0.6, 0.7)",10.1,52.8,2,7.2
"2706","Panola County, Texas",4.7,"11.1 (10.6, 11.7)","0.5 (0.5, 0.6)",9.8,53.2,13.7,2.2
"2707","Parker County, Texas",23.9,"9.6 (9, 10.1)","2.3 (2.2, 2.4)",9.1,52.9,1,4.8
"2708","Parmer County, Texas",1.4,"12.7 (11.5, 13.9)","0.2 (0.2, 0.2)",12.8,52.7,1.7,38.4
"2709","Pecos County, Texas",2.1,"13.4 (11.7, 15.1)","0.3 (0.2, 0.3)",10.4,50.3,0.9,63.1
"2710","Polk County, Texas",10.3,"8 (7.5, 8.5)","0.8 (0.8, 0.9)",5,48.2,4.8,4.8
"2711","Potter County, Texas",15.7,"12 (11.1, 12.9)","1.9 (1.8, 2)",13,54.9,6.7,19.6
"2712","Presidio County, Texas",1.6,"18.4 (15.9, 20.8)","0.3 (0.2, 0.3)",19.6,49.5,0.6,80.8
"2713","Rains County, Texas",3.2,"10 (9.4, 10.6)","0.3 (0.3, 0.3)",8.8,51.6,2.7,3.9
"2714","Randall County, Texas",21.9,"10.3 (9.6, 10.9)","2.3 (2.1, 2.4)",10.6,55.5,1.1,7.1
"2715","Reagan County, Texas",0.4,"11.8 (10.5, 13.1)","0.1 (0, 0.1)",7.8,49.9,3.9,47.1
"2716","Real County, Texas",1.1,"10.6 (9.8, 11.4)","0.1 (0.1, 0.1)",8.9,50.7,0.5,16.8
"2717","Red River County, Texas",3.1,"12.2 (11.6, 12.8)","0.4 (0.4, 0.4)",12.7,53.6,13.9,2.5
"2718","Reeves County, Texas",1.9,"15.1 (13.1, 17.1)","0.3 (0.2, 0.3)",12.6,54.1,1.8,74.6
"2719","Refugio County, Texas",1.6,"13.7 (12.4, 15)","0.2 (0.2, 0.2)",12.5,53.3,7,36.8
"2720","Roberts County, Texas",0.2,"9.6 (9.1, 10.2)","0 (0, 0)",8.7,55.4,0,4.3
"2721","Robertson County, Texas",3.6,"12.2 (11.5, 13)","0.4 (0.4, 0.5)",11.6,53.9,14.8,9.6
"2722","Rockwall County, Texas",14.1,"10.1 (9.5, 10.7)","1.4 (1.3, 1.5)",10.2,55.4,3.8,6.7
"2723","Runnels County, Texas",2.2,"11.9 (11, 12.8)","0.3 (0.2, 0.3)",12.2,51.3,2.1,20
"2724","Rusk County, Texas",9.4,"11.7 (11.1, 12.4)","1.1 (1, 1.2)",11.8,53.9,14.3,4.9
"2725","Sabine County, Texas",3.3,"11.2 (10.6, 11.8)","0.4 (0.3, 0.4)",11.5,50.5,4.5,2.1
"2726","San Augustine County, Texas",2.2,"13.1 (12.5, 13.7)","0.3 (0.3, 0.3)",14.4,52.3,15.5,2.8
"2727","San Jacinto County, Texas",6.8,"10.6 (10, 11.2)","0.7 (0.7, 0.8)",9.9,50.8,8.1,5
"2728","San Patricio County, Texas",10.3,"12.2 (10.9, 13.5)","1.3 (1.1, 1.4)",10.4,53.8,1.3,43.6
"2729","San Saba County, Texas",1.4,"11.7 (11, 12.5)","0.2 (0.2, 0.2)",13.7,52.2,0.7,12.2
"2730","Schleicher County, Texas",0.6,"11.3 (10.1, 12.4)","0.1 (0.1, 0.1)",8.2,49.6,0.7,37.5
"2731","Scurry County, Texas",2.5,"12.5 (11.6, 13.5)","0.3 (0.3, 0.3)",14.1,55.5,3,22.6
"2732","Shackelford County, Texas",0.7,"10.6 (10, 11.2)","0.1 (0.1, 0.1)",11.6,53.3,0.7,4.7
"2733","Shelby County, Texas",4.6,"11.9 (11.2, 12.5)","0.5 (0.5, 0.6)",11.2,52.9,14.5,5.1
"2734","Sherman County, Texas",0.5,"12.8 (11.9, 13.7)","0.1 (0.1, 0.1)",17.2,52.3,1.2,17.4
"2735","Smith County, Texas",40.8,"11.9 (11.3, 12.6)","4.9 (4.6, 5.1)",11.9,55.6,13.7,5.5
"2736","Somervell County, Texas",1.8,"10.7 (10, 11.3)","0.2 (0.2, 0.2)",12.6,52.8,0.5,6.6
"2737","Starr County, Texas",7.4,"15.5 (13.2, 17.8)","1.2 (1, 1.3)",11.3,57.2,0,93.5
"2738","Stephens County, Texas",1.9,"11.1 (10.5, 11.8)","0.2 (0.2, 0.2)",12.9,53.3,1.8,7.5
"2739","Sterling County, Texas",0.2,"14.5 (13.3, 15.7)","0 (0, 0)",19.1,54.6,3.1,28.4
"2740","Stonewall County, Texas",0.4,"12.9 (12.2, 13.7)","0 (0, 0)",16.9,56.2,2.5,7.3
"2741","Sutton County, Texas",0.7,"12.2 (10.9, 13.6)","0.1 (0.1, 0.1)",10.2,50.3,0.3,47.9
"2742","Swisher County, Texas",1.3,"13 (12, 14.1)","0.2 (0.2, 0.2)",14.6,54.6,3.7,24.5
"2743","Tarrant County, Texas",254.2,"11.3 (10.5, 12)","28.7 (26.8, 30.6)",10.4,56.2,11.8,13.3
"2744","Taylor County, Texas",20.8,"12 (11.2, 12.7)","2.5 (2.3, 2.6)",13.6,57.2,4.6,12.8
"2745","Terrell County, Texas",0.2,"14.2 (12.8, 15.7)","0 (0, 0)",15.6,49.4,0,43.5
"2746","Terry County, Texas",1.9,"12.3 (11.2, 13.4)","0.2 (0.2, 0.2)",11.6,55.8,2.9,34.8
"2747","Throckmorton County, Texas",0.4,"12.7 (12, 13.5)","0.1 (0, 0.1)",15.7,52.1,0.7,6.3
"2748","Titus County, Texas",4.9,"11.4 (10.7, 12.1)","0.6 (0.5, 0.6)",11,54.3,9.3,13.1
"2749","Tom Green County, Texas",19.3,"12 (11.1, 13)","2.3 (2.1, 2.5)",12.6,54.9,2.9,24.7
"2750","Travis County, Texas",136.4,"10.7 (9.9, 11.5)","14.6 (13.5, 15.7)",9.7,54.8,7.9,18.2
"2751","Trinity County, Texas",4.1,"10.7 (10.1, 11.3)","0.4 (0.4, 0.5)",9.8,51.7,7.5,3.7
"2752","Tyler County, Texas",5,"11.2 (10.6, 11.7)","0.6 (0.5, 0.6)",11.8,53.6,5.7,1.9
"2753","Upshur County, Texas",8.1,"10.8 (10.2, 11.4)","0.9 (0.8, 0.9)",10.2,53.9,8.7,2.5
"2754","Upton County, Texas",0.6,"13.6 (12.3, 14.9)","0.1 (0.1, 0.1)",14.9,51.4,3.1,41.2
"2755","Uvalde County, Texas",4.5,"13.9 (12.3, 15.4)","0.6 (0.6, 0.7)",13.5,55.4,0.6,53.5
"2756","Val Verde County, Texas",7,"15.5 (13.5, 17.6)","1.1 (0.9, 1.2)",12.9,54.9,1.4,75.9
"2757","Van Zandt County, Texas",12,"10.4 (9.9, 11)","1.2 (1.2, 1.3)",10.6,54.1,2.5,3.8
"2758","Victoria County, Texas",15.5,"12.7 (11.6, 13.8)","2 (1.8, 2.1)",12.6,55.6,5.5,31.4
"2759","Walker County, Texas",10.3,"11.2 (10.5, 11.8)","1.1 (1.1, 1.2)",9.9,52.5,13.6,7.1
"2760","Waller County, Texas",7,"11.5 (10.8, 12.3)","0.8 (0.8, 0.9)",9.5,52.4,15.6,13.9
"2761","Ward County, Texas",1.6,"13.9 (12.6, 15.3)","0.2 (0.2, 0.2)",14.5,56.3,4.6,42.7
"2762","Washington County, Texas",8.2,"12.6 (12, 13.3)","1 (1, 1.1)",15.3,55.3,11.2,4.4
"2763","Webb County, Texas",27.7,"15 (12.7, 17.2)","4.1 (3.5, 4.8)",11.2,56.7,0.3,90.6
"2764","Wharton County, Texas",7.4,"13 (12.1, 14)","1 (0.9, 1)",12.8,54.5,12.7,22.5
"2765","Wheeler County, Texas",1,"10.7 (10, 11.4)","0.1 (0.1, 0.1)",10.7,52.1,1.6,7.3
"2766","Wichita County, Texas",20.4,"11.8 (11.1, 12.5)","2.4 (2.3, 2.6)",13.5,56.5,6.8,9
"2767","Wilbarger County, Texas",2.4,"12 (11.2, 12.8)","0.3 (0.3, 0.3)",13,54.6,7.1,14.2
"2768","Willacy County, Texas",3.1,"14.8 (12.7, 16.8)","0.5 (0.4, 0.5)",12,56,0.5,80.5
"2769","Williamson County, Texas",79.5,"10.2 (9.6, 10.9)","8.1 (7.6, 8.7)",9.2,55.8,4,11
"2770","Wilson County, Texas",8.7,"11.3 (10.3, 12.4)","1 (0.9, 1.1)",10.5,52.6,2,29.5
"2771","Winkler County, Texas",0.9,"12.1 (10.8, 13.4)","0.1 (0.1, 0.1)",9.4,53.7,2.7,44.7
"2772","Wise County, Texas",11.1,"9.7 (9.1, 10.3)","1.1 (1, 1.1)",8.8,52.6,0.7,7.3
"2773","Wood County, Texas",12.9,"10.4 (9.8, 11)","1.3 (1.3, 1.4)",10.1,53.2,2.7,3.2
"2774","Yoakum County, Texas",1,"12.1 (10.9, 13.3)","0.1 (0.1, 0.1)",10.6,52.8,1.5,41.4
"2775","Young County, Texas",3.8,"11 (10.4, 11.6)","0.4 (0.4, 0.4)",13.1,54.3,1.3,5.3
"2776","Zapata County, Texas",1.9,"14.4 (12.3, 16.4)","0.3 (0.2, 0.3)",10.5,52.7,0.5,83
"2777","Zavala County, Texas",1.7,"15.1 (12.9, 17.4)","0.3 (0.2, 0.3)",11.8,55.2,0.4,90.8
"2778","Beaver County, Utah",1,"9.3 (8.7, 9.9)","0.1 (0.1, 0.1)",7.8,49.2,0.1,4.4
"2779","Box Elder County, Utah",7.5,"10.2 (9.6, 10.8)","0.8 (0.7, 0.8)",10.7,51.7,0.2,4.4
"2780","Cache County, Utah",13.1,"10.2 (9.6, 10.7)","1.3 (1.3, 1.4)",10.9,52.8,0.4,4
"2781","Carbon County, Utah",3.8,"10.1 (9.5, 10.8)","0.4 (0.4, 0.4)",10.1,52.1,0.4,10
"2782","Daggett County, Utah",0.3,"8.6 (8.1, 9.1)","0 (0, 0)",7.7,41.5,0,3.3
"2783","Davis County, Utah",38.3,"10.1 (9.5, 10.6)","3.8 (3.6, 4.1)",10.7,53.6,0.8,5
"2784","Duchesne County, Utah",2.5,"10.2 (9.6, 10.7)","0.3 (0.2, 0.3)",10.8,50.5,0.2,2.9
"2785","Emery County, Utah",1.9,"9.5 (9, 10.1)","0.2 (0.2, 0.2)",8.6,51.7,0.3,3.2
"2786","Garfield County, Utah",1.2,"10 (9.4, 10.5)","0.1 (0.1, 0.1)",11,50.2,0.2,3.4
"2787","Grand County, Utah",1.9,"9.9 (9.3, 10.4)","0.2 (0.2, 0.2)",11.3,50.6,0.2,3.6
"2788","Iron County, Utah",7.8,"9.3 (8.7, 9.8)","0.7 (0.7, 0.8)",8.3,51.7,0.4,4
"2789","Juab County, Utah",1.5,"9.5 (9, 10)","0.1 (0.1, 0.1)",9,52.9,0.1,2.2
"2790","Kane County, Utah",1.9,"9 (8.5, 9.5)","0.2 (0.2, 0.2)",7.1,50.5,0.2,2.4
"2791","Millard County, Utah",2.4,"10.8 (10.2, 11.4)","0.3 (0.2, 0.3)",13.3,50.9,0.1,3.3
"2792","Morgan County, Utah",1.5,"9.4 (8.9, 9.9)","0.1 (0.1, 0.2)",8.5,50.6,0.1,1.5
"2793","Piute County, Utah",0.4,"9.8 (9.3, 10.4)","0 (0, 0)",8.4,49.7,0.7,1.2
"2794","Rich County, Utah",0.5,"10 (9.4, 10.5)","0 (0, 0.1)",12.1,45.3,0,2.5
"2795","Salt Lake County, Utah",134.6,"10 (9.4, 10.7)","13.5 (12.6, 14.3)",10.3,54.4,0.8,7.9
"2796","San Juan County, Utah",2.3,"10.4 (9.8, 11)","0.2 (0.2, 0.3)",11.9,52.9,0.3,2.8
"2797","Sanpete County, Utah",4.7,"9.5 (9, 10.1)","0.4 (0.4, 0.5)",8.9,51.7,0.2,2.6
"2798","Sevier County, Utah",3.7,"9.9 (9.3, 10.4)","0.4 (0.3, 0.4)",9.7,51.5,0.1,2.2
"2799","Summit County, Utah",6.1,"8.2 (7.7, 8.7)","0.5 (0.5, 0.5)",6.5,47.8,0.3,2.6
"2800","Tooele County, Utah",7,"9.6 (8.9, 10.2)","0.7 (0.6, 0.7)",8.9,51.8,0.7,8.5
"2801","Uintah County, Utah",4.3,"9.8 (9.2, 10.3)","0.4 (0.4, 0.4)",10.4,51.9,0.4,3.7
"2802","Utah County, Utah",52.2,"10.2 (9.6, 10.8)","5.3 (5, 5.6)",10.6,54.1,0.2,6.2
"2803","Wasatch County, Utah",4.4,"8.3 (7.9, 8.8)","0.4 (0.3, 0.4)",6.3,49.2,0.1,2.5
"2804","Washington County, Utah",42,"10.5 (10, 11.1)","4.4 (4.2, 4.7)",11.4,52,0.3,3.5
"2805","Wayne County, Utah",0.6,"9 (8.5, 9.5)","0.1 (0.1, 0.1)",7.9,48.3,0.3,1.9
"2806","Weber County, Utah",32.2,"10.2 (9.6, 10.9)","3.3 (3.1, 3.5)",10.8,53.8,1,8
"2807","Addison County, Vermont",8,"9.6 (9.1, 10.1)","0.8 (0.7, 0.8)",10.3,52.2,0.4,0.7
"2808","Bennington County, Vermont",8.4,"10.7 (10.1, 11.2)","0.9 (0.9, 0.9)",13.1,54.4,0.5,0.9
"2809","Caledonia County, Vermont",6.7,"9.5 (9, 10)","0.6 (0.6, 0.7)",10.1,52.3,0.5,0.8
"2810","Chittenden County, Vermont",26.4,"10.5 (10, 11.1)","2.8 (2.6, 2.9)",13,56.3,0.6,0.9
"2811","Essex County, Vermont",1.7,"9.9 (9.4, 10.4)","0.2 (0.2, 0.2)",10.9,50.4,0.4,0.3
"2812","Franklin County, Vermont",8.5,"9.6 (9.1, 10.1)","0.8 (0.8, 0.9)",10.2,53,0.4,0.7
"2813","Grand Isle County, Vermont",1.6,"8.3 (7.8, 8.7)","0.1 (0.1, 0.1)",6.5,49,0.9,1.2
"2814","Lamoille County, Vermont",4.6,"9.8 (9.3, 10.3)","0.5 (0.4, 0.5)",10.6,51.8,0.4,0.7
"2815","Orange County, Vermont",6.5,"9.4 (8.9, 9.9)","0.6 (0.6, 0.6)",9.5,53.5,0.4,0.8
"2816","Orleans County, Vermont",6.4,"10 (9.4, 10.5)","0.6 (0.6, 0.7)",11,53.3,0.4,0.6
"2817","Rutland County, Vermont",13.6,"9.7 (9.2, 10.2)","1.3 (1.3, 1.4)",10.1,53.4,0.4,0.7
"2818","Washington County, Vermont",12.2,"10 (9.5, 10.5)","1.2 (1.2, 1.3)",11.6,54.4,0.4,1.1
"2819","Windham County, Vermont",10.3,"9.6 (9.1, 10.1)","1 (0.9, 1)",10.4,53.3,0.8,0.9
"2820","Windsor County, Vermont",13.6,"10 (9.4, 10.5)","1.4 (1.3, 1.4)",11,53.2,0.4,0.6
"2821","Accomack County, Virginia",8.1,"11.9 (11.4, 12.5)","1 (0.9, 1)",11,54.2,20.1,1.2
"2822","Albemarle County, Virginia",21.9,"11.4 (10.8, 12)","2.5 (2.4, 2.6)",13.3,56.2,6.7,1.5
"2823","Alleghany County, Virginia",3.8,"11 (10.4, 11.5)","0.4 (0.4, 0.4)",11.3,54.6,4.6,1
"2824","Amelia County, Virginia",2.7,"12.7 (12.1, 13.3)","0.3 (0.3, 0.4)",10.6,53.3,26.7,1.1
"2825","Amherst County, Virginia",6.9,"12.2 (11.6, 12.8)","0.8 (0.8, 0.9)",11.6,56.1,17.5,0.9
"2826","Appomattox County, Virginia",3.4,"11.7 (11.2, 12.3)","0.4 (0.4, 0.4)",10.7,54.7,16.3,0.7
"2827","Arlington County, Virginia",27.3,"11.5 (10.8, 12.2)","3.1 (2.9, 3.3)",12.2,54.3,8.6,10.8
"2828","Augusta County, Virginia",16.9,"10.5 (9.9, 11)","1.8 (1.7, 1.9)",11.3,53.2,2.4,0.7
"2829","Bath County, Virginia",1.2,"11.2 (10.6, 11.7)","0.1 (0.1, 0.1)",12.8,49.2,3.9,1
"2830","Bedford County, Virginia",18.1,"10.3 (9.8, 10.8)","1.9 (1.8, 2)",10.2,52.7,5.7,0.8
"2831","Bland County, Virginia",1.5,"10.2 (9.7, 10.7)","0.2 (0.1, 0.2)",9.9,52.7,2.7,0.1
"2832","Botetourt County, Virginia",7.9,"10.1 (9.6, 10.7)","0.8 (0.8, 0.8)",10.3,53.2,3.2,0.6
"2833","Brunswick County, Virginia",3.6,"14.6 (13.9, 15.2)","0.5 (0.5, 0.5)",10.7,55.4,46.1,0.9
"2834","Buchanan County, Virginia",4.9,"10.1 (9.6, 10.6)","0.5 (0.5, 0.5)",10.1,55,0.4,0.3
"2835","Buckingham County, Virginia",3.5,"12.8 (12.2, 13.4)","0.4 (0.4, 0.5)",10.1,54.1,30.3,1
"2836","Campbell County, Virginia",11.5,"11.8 (11.3, 12.4)","1.4 (1.3, 1.4)",12.1,55.8,13.5,0.8
"2837","Caroline County, Virginia",5.3,"12.9 (12.3, 13.5)","0.7 (0.7, 0.7)",10.1,55.6,31.5,1.5
"2838","Carroll County, Virginia",7.8,"10.3 (9.7, 10.8)","0.8 (0.8, 0.8)",11.2,53.3,0.6,0.7
"2839","Charles City County, Virginia",1.8,"14.7 (14.1, 15.4)","0.3 (0.3, 0.3)",10.3,54.7,49.8,0.9
"2840","Charlotte County, Virginia",2.7,"13.4 (12.8, 14)","0.4 (0.3, 0.4)",12.3,54.8,28,0.8
